SubwayStation,TimeToSubway,TimeToBusStop,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Park),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_SchoolNearBy(Elementary),HallwayType,Floor,YearBuilt,N_FacilitiesInApt,HeatingType,AptManageType,Size(sqf),SalePrice
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,5,1992,3,individual_heating,management_in_trust,576,66371
Banwoldang,5min~10min,0~5min,1,2,1,0,3,2,108,2,corridor,8,2014,2,individual_heating,management_in_trust,288,101769
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,7,2005,7,individual_heating,management_in_trust,743,183628
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,5,1993,4,individual_heating,management_in_trust,2337,176991
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,7,1993,4,individual_heating,management_in_trust,644,96902
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,29,2007,4,individual_heating,management_in_trust,914,296460
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,27,2007,4,individual_heating,management_in_trust,1394,295575
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,14,1993,4,individual_heating,management_in_trust,914,238938
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,22,2014,10,individual_heating,management_in_trust,914,384955
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,8,2005,7,individual_heating,management_in_trust,743,137168
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,16,2005,7,individual_heating,management_in_trust,914,277876
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,10,2006,4,individual_heating,management_in_trust,903,288053
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,8,2005,7,individual_heating,management_in_trust,743,119469
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,16,2006,5,individual_heating,management_in_trust,636,247787
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,12,2013,7,individual_heating,management_in_trust,644,149274
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,5,2014,10,individual_heating,management_in_trust,914,353982
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,9,2008,8,individual_heating,management_in_trust,914,176991
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,21,2005,7,individual_heating,management_in_trust,572,200884
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,11,2009,5,individual_heating,management_in_trust,910,203646
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,16,2015,10,individual_heating,management_in_trust,644,303539
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,19,2005,7,individual_heating,management_in_trust,572,106194
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,4,2014,9,individual_heating,management_in_trust,910,331858
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,6,2008,8,individual_heating,management_in_trust,914,221238
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,2,1993,4,individual_heating,management_in_trust,644,83185
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,19,2005,7,individual_heating,management_in_trust,743,189115
Daegu,5min~10min,0~5min,1,2,1,2,5,0,76,2,corridor,6,1985,3,individual_heating,self_management,587,112831
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,8,2007,5,individual_heating,management_in_trust,1483,371681
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,9,2007,4,individual_heating,management_in_trust,1419,315929
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,10,1992,3,individual_heating,management_in_trust,355,38938
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,13,2007,4,individual_heating,management_in_trust,1103,225663
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,5,1992,3,individual_heating,management_in_trust,640,84070
Banwoldang,5min~10min,0~5min,1,2,1,0,3,2,108,2,corridor,10,2014,2,individual_heating,management_in_trust,288,105309
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,19,2007,10,individual_heating,management_in_trust,868,223893
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,23,2007,10,individual_heating,management_in_trust,868,358407
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,11,1993,4,individual_heating,management_in_trust,1761,176991
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,9,2014,9,individual_heating,management_in_trust,640,261061
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,21,2014,9,individual_heating,management_in_trust,910,349557
no-subway-nearby,5min~10min,10min~15min,1,0,0,1,4,1,218,0,corridor,11,2014,1,individual_heating,self_management,135,57522
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,5,2007,4,individual_heating,management_in_trust,1394,256637
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,31,2007,10,individual_heating,management_in_trust,1519,389380
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,9,1993,4,individual_heating,management_in_trust,1761,261061
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,7,2009,5,individual_heating,management_in_trust,914,188495
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,8,2005,7,individual_heating,management_in_trust,914,154867
Banwoldang,0~5min,0~5min,0,0,0,0,0,0,203,0,terraced,21,2014,10,individual_heating,management_in_trust,914,362831
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,18,2013,7,individual_heating,management_in_trust,910,295575
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,4,2006,4,individual_heating,management_in_trust,903,272123
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,13,2006,5,individual_heating,management_in_trust,910,199115
no-subway-nearby,5min~10min,5min~10min,1,2,1,0,1,1,1321,2,terraced,18,2015,10,individual_heating,management_in_trust,644,292035
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,37,2007,10,individual_heating,management_in_trust,1643,378053
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,15,2006,5,individual_heating,management_in_trust,1743,420353
Kyungbuk-uni-hospital,10min~15min,5min~10min,1,1,0,1,2,2,184,3,terraced,7,2006,5,individual_heating,management_in_trust,910,296460
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,6,1993,4,individual_heating,management_in_trust,644,170796
Chil-sung-market,15min~20min,5min~10min,1,2,1,1,7,3,56,4,mixed,15,1997,5,individual_heating,management_in_trust,644,128318
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,5,1993,4,individual_heating,management_in_trust,914,163716
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,20,2005,7,individual_heating,management_in_trust,743,199115
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,2,2009,5,individual_heating,management_in_trust,910,157876
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,20,2013,7,individual_heating,management_in_trust,644,149274
